cancer_site,state,race,count,population,crude_rate_100k,crude_rate_per_100k
IX Soft-tissue sarcomas,California,Black or African American,233,19398956,1.2000000000000002,1.2
IX(a) Rhabdomyosarcomas,California,Black or African American,104,19398956,0.54,0.54
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",California,Black or African American,25,19398956,0.13,0.13
IX(d) Other specified soft tissue sarcomas,California,Black or African American,74,19398956,0.38,0.38
IX(e) Unspecified soft tissue sarcomas,California,Black or African American,27,19398956,0.13999999999999999,0.14
"X Germ-cell, trophoblastic and other gonadal neoplasms",California,Black or African American,117,19398956,0.6000000000000001,0.6
X(a) Intracranial & intraspinal germ cell tumors,California,Black or African American,24,19398956,0.12,0.12
X(b) Extracranial & extragonadal germ cell tumors,California,Black or African American,18,19398956,0.09000000000000001,0.09
X(c) Malignant gonadal germ cell tumors,California,Black or African American,65,19398956,0.34,0.34
XI Carcinomas and other malignant epithelial neoplasms,California,Black or African American,172,19398956,0.8900000000000001,0.89
XI(b) Thyroid carcinomas,California,Black or African American,53,19398956,0.27,0.27
XI(c) Nasopharyngeal carcinomas,California,Black or African American,25,19398956,0.13,0.13
XI(f) Other and unspecified carcinomas,California,Black or African American,81,19398956,0.42000000000000004,0.42
I Leukemia,California,White,10445,179761888,5.8100000000000005,5.81
I(a) Lymphoid leukemias,California,White,8017,179761888,4.46,4.46
I(b) Acute myeloid leukemias,California,White,1666,179761888,0.9300000000000002,0.93
I(c) Chronic myeloproliferative diseases,California,White,342,179761888,0.19,0.19
I(d) Myelodysplastic syndrome and other myeloproliferative,California,White,236,179761888,0.13,0.13
I(e) Unspecified and other specified leukemias,California,White,184,179761888,0.1,0.1
II Lymphoma and reticuloendothelial neoplasms,California,White,4816,179761888,2.68,2.68
II(a) Hodgkin lymphomas,California,White,2135,179761888,1.1900000000000002,1.19
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),California,White,1630,179761888,0.91,0.91
II(c) Burkitt lymphoma,California,White,419,179761888,0.22999999999999998,0.23
II(d) Miscellaneous lymphoreticular neoplasms,California,White,591,179761888,0.33,0.33
II(e) Unspecified lymphomas,California,White,41,179761888,0.020000000000000004,0.02
III CNS and misc intracranial and intraspinal neoplasms,California,White,5112,179761888,2.84,2.84
III(a) Ependymomas and choroid plexus tumor,California,White,499,179761888,0.27999999999999997,0.28
III(b) Astrocytomas,California,White,2503,179761888,1.3900000000000001,1.39
III(c) Intracranial and intraspinal embryonal tumors,California,White,1174,179761888,0.65,0.65
III(d) Other gliomas,California,White,796,179761888,0.44000000000000006,0.44
III(e) Other specified intracranial/intraspinal neoplasms,California,White,105,179761888,0.06,0.06
III(f) Unspecified intracranial and intraspinal neoplasms,California,White,35,179761888,0.020000000000000004,0.02
IV Sympathetic nervous system tumors,California,White,1271,179761888,0.71,0.71
IV(a) Neuroblastoma and ganglioneuroblastoma,California,White,1233,179761888,0.6900000000000001,0.69
IV(b) Other peripheral nervous cell tumors,California,White,38,179761888,0.020000000000000004,0.02
V Retinoblastoma,California,White,581,179761888,0.32000000000000006,0.32
VI Renal tumors,California,White,1113,179761888,0.6200000000000001,0.62
VI(a) Nephroblastoma and other nonepithelial renal tumors,California,White,1034,179761888,0.58,0.58
VI(b) Renal carcinomas,California,White,76,179761888,0.04000000000000001,0.04
VII Hepatic tumor,California,White,525,179761888,0.29,0.29
VII(a) Hepatoblastoma,California,White,410,179761888,0.22999999999999998,0.23
VII(b) Hepatic carcinomas,California,White,112,179761888,0.06,0.06
VIII Malignant bone tumors,California,White,1712,179761888,0.9500000000000001,0.95
VIII(a) Osteosarcomas,California,White,1000,179761888,0.5599999999999999,0.56
VIII(b) Chondrosarcomas,California,White,68,179761888,0.04000000000000001,0.04
VIII(c) Ewing tumor and related sarcomas of bone,California,White,543,179761888,0.30000000000000004,0.3
VIII(d) Other specified malignant bone tumors,California,White,74,179761888,0.04000000000000001,0.04
VIII(e) Unspecified malignant bone tumors,California,White,27,179761888,0.020000000000000004,0.02
IX Soft-tissue sarcomas,California,White,2216,179761888,1.2300000000000002,1.23
IX(a) Rhabdomyosarcomas,California,White,812,179761888,0.45,0.45
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",California,White,237,179761888,0.13,0.13
IX(d) Other specified soft tissue sarcomas,California,White,957,179761888,0.53,0.53
IX(e) Unspecified soft tissue sarcomas,California,White,205,179761888,0.11000000000000001,0.11
"X Germ-cell, trophoblastic and other gonadal neoplasms",California,White,2608,179761888,1.4500000000000002,1.45
X(a) Intracranial & intraspinal germ cell tumors,California,White,374,179761888,0.21000000000000002,0.21
X(b) Extracranial & extragonadal germ cell tumors,California,White,262,179761888,0.15000000000000002,0.15
X(c) Malignant gonadal germ cell tumors,California,White,1840,179761888,1.02,1.02
X(d) Gonadal carcinomas,California,White,82,179761888,0.05,0.05
X(e) Other and unspecified malignant gonadal tumors,California,White,50,179761888,0.03,0.03
XI Carcinomas and other malignant epithelial neoplasms,California,White,3466,179761888,1.9300000000000002,1.93
XI(a) Adrenocortical carcinomas,California,White,49,179761888,0.03,0.03
XI(b) Thyroid carcinomas,California,White,1566,179761888,0.87,0.87
XI(c) Nasopharyngeal carcinomas,California,White,70,179761888,0.04000000000000001,0.04
XI(d) Malignant melanomas,California,White,824,179761888,0.45999999999999996,0.46
XI(e) Skin carcinomas,California,White,18,179761888,0.010000000000000002,0.01
XI(f) Other and unspecified carcinomas,California,White,939,179761888,0.52,0.52
XII Other and unspecified malignant neoplasms,California,White,125,179761888,0.06999999999999999,0.07
XII(a) Other specified malignant tumors,California,White,82,179761888,0.05,0.05
XII(b) Other unspecified malignant tumors,California,White,43,179761888,0.020000000000000004,0.02
I Leukemia,Colorado,American Indian or Alaska Native,23,692729,3.3200000000000003,3.32
I Leukemia,Colorado,Asian or Pacific Islander,55,1171389,4.7,4.7
I(a) Lymphoid leukemias,Colorado,Asian or Pacific Islander,44,1171389,3.7600000000000002,3.76
II Lymphoma and reticuloendothelial neoplasms,Colorado,Asian or Pacific Islander,32,1171389,2.7300000000000004,2.73
III CNS and misc intracranial and intraspinal neoplasms,Colorado,Asian or Pacific Islander,33,1171389,2.8200000000000003,2.82
III(b) Astrocytomas,Colorado,Asian or Pacific Islander,18,1171389,1.54,1.54
XI Carcinomas and other malignant epithelial neoplasms,Colorado,Asian or Pacific Islander,24,1171389,2.0500000000000003,2.05
I Leukemia,Colorado,Black or African American,51,1970818,2.59,2.59
I(a) Lymphoid leukemias,Colorado,Black or African American,30,1970818,1.52,1.52
I(b) Acute myeloid leukemias,Colorado,Black or African American,16,1970818,0.81,0.81
II Lymphoma and reticuloendothelial neoplasms,Colorado,Black or African American,49,1970818,2.49,2.49
II(a) Hodgkin lymphomas,Colorado,Black or African American,24,1970818,1.22,1.22
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Colorado,Black or African American,16,1970818,0.81,0.81
III CNS and misc intracranial and intraspinal neoplasms,Colorado,Black or African American,46,1970818,2.33,2.33
III(b) Astrocytomas,Colorado,Black or African American,28,1970818,1.42,1.42
VI Renal tumors,Colorado,Black or African American,22,1970818,1.1199999999999999,1.12
VI(a) Nephroblastoma and other nonepithelial renal tumors,Colorado,Black or African American,21,1970818,1.07,1.07
IX Soft-tissue sarcomas,Colorado,Black or African American,30,1970818,1.52,1.52
XI Carcinomas and other malignant epithelial neoplasms,Colorado,Black or African American,18,1970818,0.91,0.91
I Leukemia,Colorado,White,1243,27052353,4.59,4.59
I(a) Lymphoid leukemias,Colorado,White,959,27052353,3.54,3.54
I(b) Acute myeloid leukemias,Colorado,White,206,27052353,0.76,0.76
I(c) Chronic myeloproliferative diseases,Colorado,White,46,27052353,0.17,0.17
I(d) Myelodysplastic syndrome and other myeloproliferative,Colorado,White,20,27052353,0.06999999999999999,0.07
II Lymphoma and reticuloendothelial neoplasms,Colorado,White,728,27052353,2.69,2.69
II(a) Hodgkin lymphomas,Colorado,White,336,27052353,1.2400000000000002,1.24
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Colorado,White,224,27052353,0.8300000000000001,0.83
II(c) Burkitt lymphoma,Colorado,White,73,27052353,0.27,0.27
II(d) Miscellaneous lymphoreticular neoplasms,Colorado,White,86,27052353,0.32000000000000006,0.32
III CNS and misc intracranial and intraspinal neoplasms,Colorado,White,802,27052353,2.9600000000000004,2.96
III(a) Ependymomas and choroid plexus tumor,Colorado,White,73,27052353,0.27,0.27
III(b) Astrocytomas,Colorado,White,391,27052353,1.4500000000000002,1.45
III(c) Intracranial and intraspinal embryonal tumors,Colorado,White,164,27052353,0.61,0.61
III(d) Other gliomas,Colorado,White,144,27052353,0.53,0.53
IV Sympathetic nervous system tumors,Colorado,White,233,27052353,0.86,0.86
IV(a) Neuroblastoma and ganglioneuroblastoma,Colorado,White,227,27052353,0.8400000000000001,0.84
V Retinoblastoma,Colorado,White,85,27052353,0.31000000000000005,0.31
VI Renal tumors,Colorado,White,182,27052353,0.67,0.67
VI(a) Nephroblastoma and other nonepithelial renal tumors,Colorado,White,166,27052353,0.61,0.61
VII Hepatic tumor,Colorado,White,63,27052353,0.22999999999999998,0.23
VII(a) Hepatoblastoma,Colorado,White,45,27052353,0.17,0.17
VII(b) Hepatic carcinomas,Colorado,White,17,27052353,0.06,0.06
VIII Malignant bone tumors,Colorado,White,265,27052353,0.9800000000000001,0.98
VIII(a) Osteosarcomas,Colorado,White,137,27052353,0.51,0.51
VIII(c) Ewing tumor and related sarcomas of bone,Colorado,White,103,27052353,0.38,0.38
IX Soft-tissue sarcomas,Colorado,White,287,27052353,1.06,1.06
IX(a) Rhabdomyosarcomas,Colorado,White,110,27052353,0.41,0.41
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Colorado,White,35,27052353,0.13,0.13
IX(d) Other specified soft tissue sarcomas,Colorado,White,117,27052353,0.43,0.43
IX(e) Unspecified soft tissue sarcomas,Colorado,White,25,27052353,0.09000000000000001,0.09
"X Germ-cell, trophoblastic and other gonadal neoplasms",Colorado,White,317,27052353,1.17,1.17
X(a) Intracranial & intraspinal germ cell tumors,Colorado,White,56,27052353,0.21000000000000002,0.21
X(b) Extracranial & extragonadal germ cell tumors,Colorado,White,37,27052353,0.13999999999999999,0.14
X(c) Malignant gonadal germ cell tumors,Colorado,White,207,27052353,0.77,0.77
XI Carcinomas and other malignant epithelial neoplasms,Colorado,White,553,27052353,2.04,2.04
XI(b) Thyroid carcinomas,Colorado,White,223,27052353,0.82,0.82
XI(d) Malignant melanomas,Colorado,White,154,27052353,0.5700000000000001,0.57
XI(f) Other and unspecified carcinomas,Colorado,White,157,27052353,0.58,0.58
XII Other and unspecified malignant neoplasms,Colorado,White,26,27052353,0.1,0.1
XII(a) Other specified malignant tumors,Colorado,White,19,27052353,0.06999999999999999,0.07
I Leukemia,Connecticut,Asian or Pacific Islander,35,964711,3.63,3.63
I(a) Lymphoid leukemias,Connecticut,Asian or Pacific Islander,20,964711,2.07,2.07
III CNS and misc intracranial and intraspinal neoplasms,Connecticut,Asian or Pacific Islander,20,964711,2.07,2.07
I Leukemia,Connecticut,Black or African American,68,3071924,2.2100000000000004,2.21
I(a) Lymphoid leukemias,Connecticut,Black or African American,35,3071924,1.1400000000000001,1.14
I(b) Acute myeloid leukemias,Connecticut,Black or African American,21,3071924,0.68,0.68
II Lymphoma and reticuloendothelial neoplasms,Connecticut,Black or African American,92,3071924,2.99,2.99
II(a) Hodgkin lymphomas,Connecticut,Black or African American,50,3071924,1.6300000000000001,1.63
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Connecticut,Black or African American,35,3071924,1.1400000000000001,1.14
III CNS and misc intracranial and intraspinal neoplasms,Connecticut,Black or African American,88,3071924,2.8600000000000003,2.86
III(b) Astrocytomas,Connecticut,Black or African American,39,3071924,1.27,1.27
III(c) Intracranial and intraspinal embryonal tumors,Connecticut,Black or African American,16,3071924,0.52,0.52
III(d) Other gliomas,Connecticut,Black or African American,25,3071924,0.81,0.81
IV Sympathetic nervous system tumors,Connecticut,Black or African American,26,3071924,0.8500000000000001,0.85
IV(a) Neuroblastoma and ganglioneuroblastoma,Connecticut,Black or African American,25,3071924,0.81,0.81
VI Renal tumors,Connecticut,Black or African American,23,3071924,0.75,0.75
VI(a) Nephroblastoma and other nonepithelial renal tumors,Connecticut,Black or African American,19,3071924,0.6200000000000001,0.62
VIII Malignant bone tumors,Connecticut,Black or African American,21,3071924,0.68,0.68
VIII(a) Osteosarcomas,Connecticut,Black or African American,16,3071924,0.52,0.52
IX Soft-tissue sarcomas,Connecticut,Black or African American,42,3071924,1.37,1.37
IX(d) Other specified soft tissue sarcomas,Connecticut,Black or African American,23,3071924,0.75,0.75
"X Germ-cell, trophoblastic and other gonadal neoplasms",Connecticut,Black or African American,18,3071924,0.5900000000000001,0.59
XI Carcinomas and other malignant epithelial neoplasms,Connecticut,Black or African American,24,3071924,0.78,0.78
I Leukemia,Connecticut,White,765,16641391,4.6000000000000005,4.6
I(a) Lymphoid leukemias,Connecticut,White,571,16641391,3.4299999999999997,3.43
I(b) Acute myeloid leukemias,Connecticut,White,124,16641391,0.75,0.75
I(c) Chronic myeloproliferative diseases,Connecticut,White,22,16641391,0.13,0.13
I(d) Myelodysplastic syndrome and other myeloproliferative,Connecticut,White,17,16641391,0.1,0.1
I(e) Unspecified and other specified leukemias,Connecticut,White,31,16641391,0.19,0.19
II Lymphoma and reticuloendothelial neoplasms,Connecticut,White,580,16641391,3.49,3.49
II(a) Hodgkin lymphomas,Connecticut,White,275,16641391,1.6500000000000001,1.65
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Connecticut,White,189,16641391,1.1400000000000001,1.14
II(c) Burkitt lymphoma,Connecticut,White,63,16641391,0.38,0.38
II(d) Miscellaneous lymphoreticular neoplasms,Connecticut,White,45,16641391,0.27,0.27
III CNS and misc intracranial and intraspinal neoplasms,Connecticut,White,554,16641391,3.33,3.33
III(a) Ependymomas and choroid plexus tumor,Connecticut,White,49,16641391,0.29,0.29
III(b) Astrocytomas,Connecticut,White,286,16641391,1.72,1.72
III(c) Intracranial and intraspinal embryonal tumors,Connecticut,White,78,16641391,0.47000000000000003,0.47
III(d) Other gliomas,Connecticut,White,120,16641391,0.7200000000000001,0.72
IV Sympathetic nervous system tumors,Connecticut,White,161,16641391,0.97,0.97
IV(a) Neuroblastoma and ganglioneuroblastoma,Connecticut,White,156,16641391,0.9400000000000001,0.94
V Retinoblastoma,Connecticut,White,56,16641391,0.34,0.34
VI Renal tumors,Connecticut,White,95,16641391,0.5700000000000001,0.57
VI(a) Nephroblastoma and other nonepithelial renal tumors,Connecticut,White,80,16641391,0.48,0.48
VII Hepatic tumor,Connecticut,White,48,16641391,0.29,0.29
VII(a) Hepatoblastoma,Connecticut,White,34,16641391,0.2,0.2
VIII Malignant bone tumors,Connecticut,White,168,16641391,1.01,1.01
VIII(a) Osteosarcomas,Connecticut,White,85,16641391,0.51,0.51
VIII(c) Ewing tumor and related sarcomas of bone,Connecticut,White,56,16641391,0.34,0.34
VIII(d) Other specified malignant bone tumors,Connecticut,White,17,16641391,0.1,0.1
IX Soft-tissue sarcomas,Connecticut,White,204,16641391,1.2300000000000002,1.23
IX(a) Rhabdomyosarcomas,Connecticut,White,75,16641391,0.45,0.45
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Connecticut,White,25,16641391,0.15000000000000002,0.15
IX(d) Other specified soft tissue sarcomas,Connecticut,White,78,16641391,0.47000000000000003,0.47
IX(e) Unspecified soft tissue sarcomas,Connecticut,White,26,16641391,0.16000000000000003,0.16
"X Germ-cell, trophoblastic and other gonadal neoplasms",Connecticut,White,154,16641391,0.9300000000000002,0.93
X(a) Intracranial & intraspinal germ cell tumors,Connecticut,White,22,16641391,0.13,0.13
X(b) Extracranial & extragonadal germ cell tumors,Connecticut,White,16,16641391,0.1,0.1
X(c) Malignant gonadal germ cell tumors,Connecticut,White,108,16641391,0.65,0.65
XI Carcinomas and other malignant epithelial neoplasms,Connecticut,White,446,16641391,2.68,2.68
XI(b) Thyroid carcinomas,Connecticut,White,199,16641391,1.2000000000000002,1.2
XI(d) Malignant melanomas,Connecticut,White,101,16641391,0.61,0.61
